idx,abstract,context,entities,id,info,title
10,,"<td colspan=2><strong_blue>Mentions of the entities: </strong_blue>[...] <strong>Europe</strong> and <strong>Japan</strong> have the potential to grow faster if they loosen up the reins on their economies and worry less about inflation, Mr. Summers said. [...]</td>",<th>Europe</th><th>Japan</th>,196_1170203_12_12,"<td>Europe is a continent located entirely in the Northern Hemisphere and mostly in the Eastern Hemisphere. It is bordered by the Arctic Ocean to the north, the Atlantic Ocean to the west, Asia to the east, and the Mediterranean Sea to the south. It comprises the westernmost part of Eurasia.</td><td>Japan is an island country in East Asia. Located in the Pacific Ocean, it lies off the eastern coast of the Asian continent and stretches from the Sea of Okhotsk in the north to the East China Sea and the Philippine Sea in the south.</td>",<td colspan=2><strong_blue>Title of the article: </strong_blue>Trade Deficit Set Record In November (2000/01/21)</td>
11,,"<td colspan=4><strong_blue>Mentions of the entities: </strong_blue>[...] Senator <strong>John McCain [Bill Bradley]</strong>, who did not campaign here, won a handful of votes, and Senator Orrin G. Hatch of Utah came in last. With 41 percent of the vote, <strong><strong>Mr. <strong>Bush</strong></strong>, <strong>a two-term governor in <strong>his [George Bush]</strong> first try for national office</strong> [George Bush]</strong>, surpassed the 37 percent that Bob Dole drew in a six-candidate field in 1988. <strong>Mr. Bush</strong> had set that figure as <strong>his [George Bush]</strong> goal. Yet in a sign of the potency that the abortion issue held here, <strong>his [George Bush]</strong> results did not match the total votes of Mr. Forbes, <strong>Mr. <strong>Keyes</strong></strong> and <strong>Mr. <strong>Bauer</strong></strong>, who all criticized Mr. Bush as being soft on the question. [...]</td>",<th>Alan Keyes</th><th>Bill Bradley</th><th>Gary Bauer</th><th>George Bush</th>,247_1171350_4_7,"<td>Alan Lee Keyes is an American conservative political activist, pundit, author and former ambassador.</td><td>William Warren Bradley is an American politician and former professional basketball player. He served three terms as a Democratic U.S. Senator from New Jersey. He ran unsuccessfully for the Democratic Party's nomination for president in the 2000 election.</td><td>Gary Lee Bauer is an American politician and activist. </td><td>George Walker Bush is an American politician and businessman who served as the 43rd president of the United States from 2001 to 2009. He had previously served as the 46th governor of Texas from 1995 to 2000.</td>",<td colspan=4><strong_blue>Title of the article: </strong_blue>Iowans Deliver Victory to Bush and Gore (2000/01/25)</td>
12,,"<td colspan=2><strong_blue>Mentions of the entities: </strong_blue>[...] The day <strong>Belichick</strong> was formally named to succeed <strong>Parcells</strong>, the Patriots faxed the Jets and asked to interview <strong>Belichick</strong> as <strong>their coach [Bill Belichick]</strong> and general manager. [...]</td>",<th>Bill Belichick</th><th>Bill Parcells</th>,161_1170437_26_26,"<td>William Stephen Belichick is an American football coach who serves as the head coach of the New England Patriots of the National Football League . His extensive authority over the Patriots' football operations effectively makes him the general manager of the team as well. He holds numerous coaching records, including winning a record six Super Bowls as the head coach of the New England Patriots, and two more as defensive coordinator for the New York Giants.</td><td>Duane Charles ""Bill"" Parcells , also known as The Big Tuna, is a former American football coach, best known as a head coach in the National Football League for 19 seasons. He rose to prominence as the head coach of the New York Giants, whom he led to two Super Bowl titles. Parcells later served as the head coach of the New England Patriots, New York Jets, and Dallas Cowboys. Throughout his career, he coached teams that were in a period of decline and turned them into postseason contenders.</td>","<td colspan=2><strong_blue>Title of the article: </strong_blue>Jets Set to Name Groh, Parcells's Choice, as Coach (2000/01/22)</td>"
13,,"<td colspan=2><strong_blue>Mentions of the entities: </strong_blue>[...] With <strong>Elissa Getto -LRB- chief executive and executive director -RRB- and Janice Muirhead -LRB- artistic manager -RRB- [Janice Muirhead]</strong> teaming with <strong>Ms. Woodward -LRB- whose precise title is to be determined -RRB- [Joanne Woodward]</strong>, Westport 's new matriarchal order may be talking generalities and ideals -- artistic energy, true collaboration, real team are the operative phrases -- but <strong>they [Janice Muirhead]</strong> are not just talking. [...]</td>",<th>Janice Muirhead</th><th>Joanne Woodward</th>,25026_1172440_8_8,"<td>Garfield: A Tail of Two Kitties is a 2006 British-American live-action/computer-animated family comedy film directed by Tim Hill and written by Joel Cohen and Alec Sokolow. It is the sequel to the 2004 film Garfield: The Movie. The film stars Breckin Meyer, Jennifer Love Hewitt, Billy Connolly, Ian Abercrombie, Roger Rees, Lucy Davis, Oliver Muirhead, Bill Murray, Tim Curry, Bob Hoskins, Rhys Ifans, Vinnie Jones, Joe Pasquale, Richard E. Grant, Jane Leeves and Roscoe Lee Browne.</td><td>Joanne Gignilliat Trimmier Woodward is an American actress, producer, and philanthropist. She is best known for her performance in The Three Faces of Eve , which earned her an Academy Award for Best Actress and a Golden Globe Award for Best Actress in a Motion Picture – Drama.</td>",<td colspan=2><strong_blue>Title of the article: </strong_blue>Dreaming Big Dreams in Westport (2000/01/30)</td>
14,,<td colspan=2><strong_blue>Mentions of the entities: </strong_blue>[...] Neither the silken footwork and smooth ground strokes of the defending champion <strong>Yevgeny Kafelnikov</strong> nor the appearance of an on-court interloper in the opening game of the fourth set could throw <strong>Agassi off his rhythm for long today in the Australian Open [Andre Agassi]</strong> final. [...]</td>,<th>Andre Agassi</th><th>Yevgeny Kafelnikov</th>,2010_1172733_2_2,"<td>Andre Kirk Agassi is an American retired professional tennis player and former world No. 1 whose career spanned from the late 1980s to the mid-2000s. Considered by numerous sources to be one of the greatest tennis players of all time, Agassi has also been called the greatest service returner ever to play the game and was described by the BBC upon his retirement as ""perhaps the biggest worldwide star in the sport's history"".</td><td>Yevgeny Aleksandrovich Kafelnikov is a Russian former world No. 1 tennis player. He won two Grand Slam singles titles, the 1996 French Open and the 1999 Australian Open. He also won four Grand Slam doubles titles, being the last man to have won both the men's singles and doubles titles at the same Grand Slam tournament, which he did at the 1996 French Open.</td>",<td colspan=2><strong_blue>Title of the article: </strong_blue>Agassi Takes the Final Measure of Kafelnikov (2000/01/30)</td>
15,,"<td colspan=2><strong_blue>Mentions of the entities: </strong_blue>The family, friends and high school coach of <strong>Scott Gomez</strong> walked toward the white stretch limousine outside the elegant hotel. All had come from Alaska to see <strong><strong><strong>Gomez</strong>, <strong>the Devils rookie</strong> [Scott Gomez]</strong>, in <strong>his [Scott Gomez]</strong> first National Hockey <strong>League All-Star Game [Scott Gomez]</strong> [Wayne Gretzky]</strong>.'' [...]</td>",<th>Scott Gomez</th><th>Wayne Gretzky</th>,33982_1174454_1_2,"<td>Scott Carlos Gomez is an American professional ice hockey coach and former player.</td><td>Wayne Douglas Gretzky  is a Canadian former professional ice hockey player and former head coach. He played 20 seasons in the National Hockey League for four teams from 1979 to 1999. Nicknamed ""The Great One"", he has been called ""the greatest hockey player ever"" by many sportswriters, players, and the league itself. Gretzky is the leading scorer in NHL history, with more goals and assists than any other player.</td>","<td colspan=2><strong_blue>Title of the article: </strong_blue>N.H.L. Goals Are Up, But Not TV Ratings (2000/02/06)</td>"
16,,"<td colspan=2><strong_blue>Mentions of the entities: </strong_blue>[...] The Taliban played a key role in persuading the hijackers to drop their demands for$ 200 million and the exhumed body of a slain militant, but they also apparently pressured India to compromise on the release of some militants by threatening to force the plane to leave <strong>Afghanistan</strong> if the crisis was not quickly resolved. [...]</td>",<th>Afghanistan</th><th>Afghanistan</th>,2393_1165103_44_44,"<td>Afghanistan ; Pashto/Dari: افغانستان, Pashto: Afġānistān [avɣɒnisˈtɒn, ab-], Dari: Afġānestān [avɣɒnesˈtɒn]), officially the Islamic Republic of Afghanistan, is a landlocked country located in South-Central Asia. Afghanistan is bordered by Pakistan in the south and east; Iran in the west; Turkmenistan, Uzbekistan, and Tajikistan in the north; and in the far northeast, China. Its territory covers 652,000 square kilometers and much of it is covered by the Hindu Kush mountain range. Kabul serves as the capital and its largest city.</td>",<td colspan=2><strong_blue>Title of the article: </strong_blue>Hostages Land in India After Deal Is Made With Hijackers (2000/01/01)</td>
17,,"<td colspan=3><strong_blue>Mentions of the entities: </strong_blue>[...] In 1938, when <strong>he [Jerry Hadley]</strong> was 21, the completion of <strong>his [Jerry Hadley]</strong> first series thrust <strong>him [Jerry Hadley]</strong> into prominence. That series focused on <strong>Toussaint L'Ouverture</strong>, <strong>the former Haitian slave who liberated <strong>his [Toussaint L'Ouverture]</strong> nation from French rule [Toussaint L'Ouverture]</strong>. In 1986, when <strong>Mr. Lawrence</strong> began transferring the original egg-tempera-on-paper paintings to screen prints, <strong>he [Jacob Lawrence]</strong> decided to rework and enlarge many of the images. [...]</td>",<th>Jacob Lawrence</th><th>Jerry Hadley</th><th>Toussaint L'Ouverture</th>,19752_1171438_14_16,"<td>Jacob Lawrence was an African-American painter known for his portrayal of African-American life. As well as a painter, storyteller, and interpreter, he was an educator. Lawrence referred to his style as ""dynamic cubism"", though by his own account the primary influence was not so much French art as the shapes and colors of Harlem. He brought the African-American experience to life using blacks and browns juxtaposed with vivid colors.</td><td>Jerry Hadley was an American operatic tenor. He received three Grammy awards for his vocal performances in the recordings of Jenůfa , Susannah , and Candide . Hadley was a leading American tenor for nearly two decades. He was mentored by soprano Joan Sutherland and her husband, conductor Richard Bonynge. Leonard Bernstein chose Hadley for his 1989 recording of Candide on Deutsche Grammophon.</td><td>François-Dominique Toussaint L'Ouverture , also known as Toussaint L'Ouverture or Toussaint Bréda, was a French general and best-known leader of the Haitian Revolution. He was a leader of the growing resistance. His military and political acumen saved the gains of the first black insurrection in November 1791. He first fought for the Spanish against the French; then for France against Spain and Great Britain; and finally, he fought in behalf of Saint-Domingue in the era of Napoleonic France.</td>",<td colspan=3><strong_blue>Title of the article: </strong_blue>FOOTLIGHTS (2000/01/26)</td>
18,,"<td colspan=2><strong_blue>Abstract of the article: </strong_blue>Article discusses status of US Senatorial race in New Jersey; five Republican contenders are scrambling to emerge from long shadow of Gov Christine Todd Whitman, state's pre-eminent political figure, while fight between two Democrats, former Gov Jim Florio and Jon S Cozine, is so fractious and bitter that it threatens to split state party into rival camps; Republican candidates are Sen William L Gormley, Repr Bob Franks, Essex County Exec James W Treffinger, Murray Sabrin and Brian T Kennedy</td>",<th>Christine Whitman</th><th>William Gormley</th>,26937_1172892,"<td>Christine Todd Whitman is an American Republican politician and author who served as the 50th Governor of New Jersey, from 1994 to 2001, and was the Administrator of the Environmental Protection Agency in the administration of President George W. Bush from 2001 to 2003. She was New Jersey's first female governor.</td><td>William L. ""Bill"" Gormley is an American attorney and Republican Party politician whose career in New Jersey's state Legislature spanned four decades. Representing the state's 2nd Legislative District, which includes most of Atlantic County, Gormley emerged as an influential and dominating figure in New Jersey government and a leader in the continued economic revitalization of the greater Atlantic City region.</td>","<td colspan=2><strong_blue>Title of the article: </strong_blue>In New Jersey, Both Parties Find Tumult in Senate Primaries (2000/01/31)</td>"
19,,"<td colspan=2><strong_blue>Mentions of the entities: </strong_blue>[...] But the sudden arrival of many foreigners bolstered <strong>Mr. Haider 's [Jorg Haider]</strong> political message among Austrians afraid of losing jobs or put off by schools in which most children are foreign. A brief statement from Mr. Klestil 's office, issued after a second meeting today with <strong>Mr. <strong>Haider</strong></strong> and <strong>Mr. <strong>Schussel</strong></strong>, said:'' President Thomas Klestil informed <strong>Wolfgang Schussel</strong> that he should appear tomorrow, Friday, Feb. 4, 2000, at 12 o'clock with his government team in the president 's official chambers to be sworn in.'' [...]</td>",<th>Jorg Haider</th><th>Wolfgang Schussel</th>,901_1173828_38_39,"<td>Jörg Haider ; 26 January 1950 – 11 October 2008) was an Austrian politician. He was Governor of Carinthia on two occasions, the long-time leader of the Austrian Freedom Party and later Chairman of the Alliance for the Future of Austria , a breakaway party from the FPÖ.Haider was a controversial figure within Austria and abroad. Several countries imposed mild diplomatic sanctions against his party's participation in government alongside Wolfgang Schüssel's Austrian People's Party , starting from 2000.</td><td>Wolfgang Schüssel is an Austrian People's Party politician. He was Chancellor of Austria for two consecutive terms from February 2000 to January 2007. While being recognised as a rare example of an active reformer in contemporary Austrian politics, his governments were also highly controversial from the beginning, starting with the fact that he formed a coalition government with Jörg Haider's Freedom Party of Austria on both occasions.</td>",<td colspan=2><strong_blue>Title of the article: </strong_blue>RIGHTISTS TO JOIN AUSTRIA'S CABINET (2000/02/04)</td>
20,,"<td colspan=2><strong_blue>Mentions of the entities: </strong_blue>[...] Zvezda is in a military town of 50,000 in the far eastern finger of <strong>Russia</strong> that lies between China, North Korea and the Sea of <strong>Japan</strong>. [...]</td>",<th>Japan</th><th>Russia</th>,918_1165077_19_19,"<td>Japan is an island country in East Asia. Located in the Pacific Ocean, it lies off the eastern coast of the Asian continent and stretches from the Sea of Okhotsk in the north to the East China Sea and the Philippine Sea in the south.</td><td>Russia , or the Russian Federation , is a transcontinental country in Eastern Europe and North Asia. At 17,125,200 square kilometres , Russia is by a considerable margin the largest country in the world by area, covering more than one-eighth of the Earth's inhabited land area, and the ninth most populous, with about 146.80 million people as of 2019, including Crimea.</td>",<td colspan=2><strong_blue>Title of the article: </strong_blue>Radioactive Waste and Unpaid Bills (2000/01/01)</td>
21,,"<td colspan=3><strong_blue>Mentions of the entities: </strong_blue>[...] And they speculated that some elements in the Taliban may have given the hijackers weapons after they landed in Kandahar -- a theory that gained some support from hostages tonight who said the hijackers seemed to have more guns after reaching <strong>Afghanistan</strong>. The Taliban played a key role in persuading the hijackers to drop their demands for$ 200 million and the exhumed body of a slain militant, but they also apparently pressured <strong>India</strong> to compromise on the release of some militants by threatening to force the plane to leave <strong>Afghanistan</strong> if the crisis was not quickly resolved. [...]</td>",<th>Afghanistan</th><th>Afghanistan</th><th>India</th>,2390_1165103_43_44,"<td>Afghanistan ; Pashto/Dari: افغانستان, Pashto: Afġānistān [avɣɒnisˈtɒn, ab-], Dari: Afġānestān [avɣɒnesˈtɒn]), officially the Islamic Republic of Afghanistan, is a landlocked country located in South-Central Asia. Afghanistan is bordered by Pakistan in the south and east; Iran in the west; Turkmenistan, Uzbekistan, and Tajikistan in the north; and in the far northeast, China. Its territory covers 652,000 square kilometers and much of it is covered by the Hindu Kush mountain range. Kabul serves as the capital and its largest city.</td><td>India , also known as the Republic of India , is a country in South Asia. It is the seventh-largest country by area, the second-most populous country, and the most populous democracy in the world. Bounded by the Indian Ocean on the south, the Arabian Sea on the southwest, and the Bay of Bengal on the southeast, it shares land borders with Pakistan to the west; China, Nepal, and Bhutan to the north; and Bangladesh and Myanmar to the east.</td>",<td colspan=3><strong_blue>Title of the article: </strong_blue>Hostages Land in India After Deal Is Made With Hijackers (2000/01/01)</td>
22,,"<td colspan=2><strong_blue>Abstract of the article: </strong_blue>Democratic presidential candidates Al Gore and Bill Bradley hold their seventh and most combative debate six days before New Hampshire primary; Bradley, facing questions about vigor of his campaign and under frequent attack from Gore, attacks Gore for his positions on abortion, welfare reform, health care and for working with special interests; Gore accuses Bradley of voting with Pres Ronald Reagan against children and of offering health plan that does not do what it promises; each candidate accuses other of conducting negative campaign, and Bradley even raises specter of Pres Richard M Nixon; photo of Gore before debate in Manchester, NH</td>",<th>Al Gore</th><th>Richard Nixon</th>,23052_1171844,"<td>Albert Arnold Gore Jr. is an American politician and environmentalist who served as the 45th vice president of the United States from 1993 to 2001. Gore was Bill Clinton's running mate in their successful campaign in 1992, and the pair was re-elected in 1996. Near the end of Clinton's second term, Gore was selected as the Democratic nominee for the 2000 presidential election but lost the election in a very close race after a Florida recount.</td><td>Richard Milhous Nixon was an American politician who served as the 37th president of the United States from 1969 until 1974. The only president to resign the office, he had previously served as the 36th vice president of the United States from 1953 to 1961, and prior to that as both a U.S. representative and senator from California.</td>",<td colspan=2><strong_blue>Title of the article: </strong_blue>Two Democrats Fire Broadsides In Testy Debate (2000/01/27)</td>
23,,<td colspan=2><strong_blue>Mentions of the entities: </strong_blue>[...] It is believed that Johnson offered <strong>Parcells</strong>$ 4 million to return next season. <strong>Groh 's [Al Groh]</strong> only previous head-coaching experience came at Wake Forest from 1981-1986. [...]</td>,<th>Al Groh</th><th>Bill Parcells</th>,545_1170437_5_6,"<td>Albert Michael Groh II is an American football analyst and former player and coach. He served as the head football coach at Wake Forest University from 1981 to 1986 and at the University of Virginia from 2001 to 2009, compiling a career college football coaching record of 85–92. Groh was also the head coach for the New York Jets of the National Football League for one season, in 2000, tallying a mark of 9–7. He last coached as the defensive coordinator for Georgia Tech in 2012.</td><td>Duane Charles ""Bill"" Parcells , also known as The Big Tuna, is a former American football coach, best known as a head coach in the National Football League for 19 seasons. He rose to prominence as the head coach of the New York Giants, whom he led to two Super Bowl titles. Parcells later served as the head coach of the New England Patriots, New York Jets, and Dallas Cowboys. Throughout his career, he coached teams that were in a period of decline and turned them into postseason contenders.</td>","<td colspan=2><strong_blue>Title of the article: </strong_blue>Jets Set to Name Groh, Parcells's Choice, as Coach (2000/01/22)</td>"
